epoch,train_loss,train_accuracy,val_loss,val_accuracy,optimizer,seed,lr
1,0.8201130681567722,0.6871111111111111,0.4925686518351237,0.8123333333333334,sgd,1,0.01
2,0.5101335046379655,0.8130185185185185,0.39107356206576027,0.8545,sgd,1,0.01
3,0.42807407123954205,0.8463333333333334,0.3607850487232208,0.862,sgd,1,0.01
4,0.38920184769453825,0.8612962962962963,0.31432394464810687,0.879,sgd,1,0.01
5,0.3548202867684541,0.8732222222222222,0.30074299971262614,0.8931666666666667,sgd,1,0.01
6,0.32568727415579335,0.8840740740740741,0.28700652182102204,0.8921666666666667,sgd,1,0.01
7,0.31365207070774503,0.8877037037037037,0.2687489071289698,0.8986666666666666,sgd,1,0.01
8,0.2923051776179561,0.8939444444444444,0.27692072025934855,0.8958333333333334,sgd,1,0.01
9,0.27758465547473343,0.8982222222222223,0.25442359419663746,0.905,sgd,1,0.01
10,0.26651385003549083,0.9032222222222223,0.24662334279219308,0.9066666666666666,sgd,1,0.01
11,0.25394878872235616,0.9071851851851852,0.2687325165271759,0.8998333333333334,sgd,1,0.01
12,0.24591469377058522,0.9108888888888889,0.24145424628257753,0.908,sgd,1,0.01
13,0.23603176839042592,0.9138148148148149,0.2327259983420372,0.9093333333333333,sgd,1,0.01
14,0.227022084430412,0.9173703703703704,0.2393189192612966,0.9051666666666667,sgd,1,0.01
15,0.21978057097726397,0.919537037037037,0.23545406661430995,0.9161666666666667,sgd,1,0.01
16,0.21110312246393276,0.9228703703703703,0.23022279693682987,0.9163333333333333,sgd,1,0.01
17,0.202799046308906,0.9251481481481482,0.22961447288592657,0.911,sgd,1,0.01
18,0.19483780589810124,0.9273333333333333,0.23577984547615052,0.9166666666666666,sgd,1,0.01
19,0.19158625181295252,0.9285,0.2355114875237147,0.92,sgd,1,0.01
20,0.1852079699834188,0.9316851851851852,0.23105781066417694,0.9176666666666666,sgd,1,0.01
1,0.8042441336843702,0.7,0.45983396236101787,0.8291666666666667,sgd,2,0.01
2,0.4863669541500233,0.8223703703703704,0.365703574180603,0.8663333333333333,sgd,2,0.01
3,0.4156711071155689,0.8492592592592593,0.32930045866966245,0.8815,sgd,2,0.01
4,0.3722722998989953,0.8658148148148148,0.30362081185976664,0.8911666666666667,sgd,2,0.01
5,0.3405112621166088,0.8792407407407408,0.28240481070677437,0.899,sgd,2,0.01
6,0.314470468600591,0.8887037037037037,0.27000725146134696,0.9003333333333333,sgd,2,0.01
7,0.2986917585885083,0.8932407407407408,0.2582239135901133,0.901,sgd,2,0.01
8,0.2822387435436249,0.8988518518518519,0.2522996658086777,0.9123333333333333,sgd,2,0.01
9,0.26460176049338446,0.9044444444444445,0.25058237795035043,0.9083333333333333,sgd,2,0.01
10,0.2555758174657822,0.9082407407407408,0.23365649378299713,0.9128333333333334,sgd,2,0.01
11,0.24715435328748492,0.9114629629629629,0.2367114400068919,0.913,sgd,2,0.01
12,0.23120710247534293,0.9161666666666667,0.24141412047545116,0.9106666666666666,sgd,2,0.01
13,0.2229821901233108,0.9188703703703703,0.24473429624239604,0.9105,sgd,2,0.01
14,0.21591497230971302,0.92,0.22581594357887905,0.9186666666666666,sgd,2,0.01
15,0.2075083743289665,0.9254074074074075,0.2244990897576014,0.9168333333333333,sgd,2,0.01
16,0.19886314184135861,0.9266666666666666,0.22613000684976578,0.9175,sgd,2,0.01
17,0.19352814372380575,0.9290185185185185,0.22129685282707215,0.916,sgd,2,0.01
