optimizer,seed,lr,num_epochs,best_val_acc,epoch_best_val,final_train_acc,final_val_acc,generalization_gap,epochs_to_threshold
sgd,1,0.01,20,0.92,19,0.9316851851851852,0.9176666666666666,0.014018518518518541,2
sgd,2,0.01,20,0.9213333333333333,18,0.9349814814814815,0.9185,0.01648148148148154,2
sgd,3,0.01,20,0.9211666666666667,20,0.9366481481481481,0.9211666666666667,0.01548148148148143,2
adam,1,0.003,20,0.9173333333333333,19,0.9428518518518518,0.9126666666666666,0.030185185185185204,1
adam,2,0.003,20,0.9208333333333333,20,0.9458148148148148,0.9208333333333333,0.024981481481481493,1
adam,3,0.003,20,0.919,12,0.9470185185185185,0.9158333333333334,0.031185185185185094,1
rmsprop,1,0.003,20,0.9105,17,0.9231666666666667,0.8995,0.023666666666666725,1
rmsprop,2,0.003,20,0.9176666666666666,15,0.9209814814814815,0.9131666666666667,0.00781481481481483,1
rmsprop,3,0.003,20,0.916,10,0.9334259259259259,0.9061666666666667,0.027259259259259205,1
